Team_abbr,Offense_eFG,Defense_eFG,Offense_TOV,Defense_TOV,Offense_ORB,Defense_DRB,Offense_FtFga,Defense_FtFga
ATL,.511,.542,15.2,13.4,24.2,76.8,.191,.235
BOS,.530,.507,11.6,13.8,22.4,77.9,.178,.212
BRK,.524,.525,12.5,11.4,25.2,76.5,.213,.206
CHO,.518,.527,10.6,12.5,21.2,76.7,.202,.186
CHI,.496,.521,13.5,12.3,16.9,75.8,.176,.187
CLE,.495,.551,11.7,11.0,24.8,76.3,.183,.175
DAL,.525,.520,13.6,12.5,23.7,77.8,.240,.186
DEN,.524,.513,12.1,12.2,27.5,77.7,.186,.191
DET,.493,.520,12.5,12.6,25.7,79.7,.199,.230
GSW,.550,.513,12.7,11.3,22.7,78.4,.206,.203
HOU,.534,.528,12.5,12.6,25.2,75.6,.221,.223
IND,.534,.501,13.1,14.2,22.1,77.1,.180,.178
LAC,.528,.509,12.4,10.4,22.3,75.3,.270,.220
LAL,.537,.505,13.2,12.0,21.6,76.4,.179,.179
MEM,.514,.513,12.2,14.3,17.8,77.1,.209,.231
MIA,.506,.502,12.6,12.3,26.6,77.2,.188,.219
MIL,.552,.500,12.4,11.4,21.5,80.7,.192,.165
MIN,.506,.530,11.2,13.3,24.5,73.7,.214,.184
NOP,.532,.532,12.4,11.3,25.7,76.7,.212,.203
NYK,.490,.545,11.7,11.9,24.0,75.7,.200,.204
OKC,.507,.507,12.2,15.4,27.1,78.4,.187,.197
ORL,.509,.520,12.1,12.2,20.3,77.8,.164,.198
PHI,.530,.503,13.2,10.9,23.4,78.8,.245,.215
PHO,.514,.543,13.9,13.4,20.5,74.7,.179,.233
POR,.516,.517,12.6,10.8,25.0,78.3,.210,.178
SAC,.531,.536,11.6,13.7,22.0,74.8,.173,.209
SAS,.531,.527,10.9,11.4,21.9,78.3,.199,.171
TOR,.537,.505,11.8,12.5,23.5,76.0,.190,.184
UTA,.528,.520,13.7,13.4,22.1,79.7,.214,.195
WAS,.525,.540,12.1,13.8,19.8,72.4,.210,.218
